policy,p95_latency,avg_latency,completed
random,10.558981788947676,4.332877404950515,102
random,37.87565380253163,8.79055208225353,72
random,21.00493182441174,5.849133555939844,80
random,13.892187608220361,5.368328466982462,86
random,17.103042518324315,6.662970744813553,79
round_robin,13.328767036950488,4.645921909851883,106
round_robin,15.762322747490913,4.501451651301455,92
round_robin,15.423429200745915,4.789314989552438,93
round_robin,16.799977484486732,4.958488889225572,92
round_robin,13.367071298540111,4.801281550570367,89
shortest_queue,11.424951654925707,4.291681016257081,106
shortest_queue,14.075460385397548,4.350680961338075,101
shortest_queue,13.662702402975953,5.002673003334634,94
shortest_queue,17.279696823692632,5.490790628288212,96
shortest_queue,9.334306973052856,4.392749222104677,89
llm,11.925057453620525,4.546454832208203,97
llm,15.261907804911225,4.543344261704343,109
llm,10.89563911843598,3.9964216684007012,107
llm,13.132664130842272,4.514608863888217,98
llm,13.101231705148436,4.491608663717549,104
